$\pi$ [mas],$M_{Aa}$ [$M_{\odot}$],$M_{Ab}$ [$M_{\odot}$],$a$ [AU]
21.405981867382735,1.0302603282107419,0.3100051467795205,0.8891640518195411
21.567525575071492,0.9967177692385333,0.31148013025705923,0.8819145225079187
21.654169562174047,0.9940133556034512,0.3007243929818453,0.8789912038767995
22.042487117690982,0.9306971392700316,0.29514326748694697,0.8630720635413046
22.082814256141305,0.9272712678338154,0.2928462234151864,0.861733539576769
21.605378563312808,0.9891052078503069,0.31857081381552366,0.8818209359259289
21.99314861576362,0.9474911250814996,0.2855982355122778,0.8647304335721963
21.785795036884558,0.9654490866468745,0.30764036140501505,0.8741109457471563
21.52495151638506,1.0117238078100343,0.30684495587633137,0.8843004692724561
22.05684238694553,0.9259338009170482,0.2963352493651613,0.8622530504234798
21.643539347477578,0.9961689042766069,0.3026489165380581,0.8798104185552116
22.16780172068521,0.9218569451431006,0.2860177857517462,0.8588326457514728
21.535745133294753,1.0097095168123031,0.30658420268135933,0.8837937731172931
21.96883123224831,0.9479425402844026,0.29437057154771296,0.8669166855053921
21.761559996022015,0.9671065328004927,0.3097424893340882,0.8748357886582429
21.406391108675795,1.0331277679309334,0.3080126418464276,0.8893526261946776
21.693305902948076,0.9859555495482604,0.30798252104840484,0.8787578740440468
22.08711416831466,0.9278635158310737,0.2927442013969979,0.8618385541745378
22.244194205905256,0.9047056819909648,0.2868730753684706,0.854989861988884
22.4344521747079,0.8791963160208505,0.28451410921092085,0.8482321529675318
21.409426593883666,1.0193155406510055,0.3136690321945671,0.8875992361566072
22.28150915162717,0.9124141458134079,0.284605592222017,0.856187018590669
22.49613628254537,0.8821587292424807,0.2770759269321793,0.8471025531288567
21.808567915714622,0.958622179201408,0.3020321120237732,0.8712342188951332
21.765941876606018,0.9764706058400361,0.29655177614509176,0.8740085200734755
21.753007319422906,0.9751613025765521,0.30571801979718705,0.8757928044498918
21.885830427534348,0.9608301957842756,0.2978183656334247,0.870685138242563
21.755689312609245,0.9837940030547515,0.29641463803338175,0.875615571698921
21.90758591378568,0.9607475387594419,0.2926498066208839,0.869497707921315
21.887108814560083,0.9585997151005605,0.2970607345958472,0.870100258572378
21.4524892003953,1.0176524870696178,0.31337891956423247,0.8870080765618907
21.880705069695665,0.9565024652910594,0.30003238809044297,0.8701063345565913
22.65057289270504,0.8547239913781022,0.27349065254575433,0.839617144247114
21.602362880159895,0.9934319460872175,0.3145203952262067,0.8818615407331576
22.679738879683406,0.8501531500176313,0.2715644270934702,0.8379540509671594
21.98748745559653,0.9359837217059288,0.30278072823598845,0.866047840905278
21.87057597162012,0.9636587070541207,0.29245153484646086,0.8701574887008132
22.293550705558587,0.89457631192132,0.2943089530975519,0.8542481006999663
21.869338824429235,0.953931849255083,0.3016578132429304,0.8700091272615935
21.66225720593737,0.9921273678272835,0.30260307472708053,0.8789039801505414
21.392360821158714,1.0372000211046446,0.303401178431964,0.889215223642011
21.98655574243796,0.9410494672748775,0.2974249682147274,0.8659852021878298
21.844877224744465,0.9566629571811641,0.299339664622294,0.8701319780283953
22.606335477132934,0.8581503374142686,0.2765606074564514,0.8410650333903099
22.76969944777875,0.8449663247904275,0.27047265947236704,0.8362379937613083
22.780050619949158,0.8381978711692777,0.27273505323072417,0.8351730857244553
22.579458487090122,0.8689351641576329,0.27538606908354446,0.8434547799806688
22.13823450747956,0.9154724528253312,0.2957975655203594,0.8596612024442697
22.221182508208994,0.9046472154608289,0.29394020829912004,0.8566536317334102
22.28301978833391,0.8945271803963802,0.2980349245655066,0.8551656907865423
21.704789697341035,0.9702357354145914,0.3161866792237901,0.8770947884985776
22.02019732129754,0.940351104294304,0.2914342112068196,0.8644256797779292
21.843203236335516,0.9542529127586372,0.30331768526071573,0.8704469634355592
22.51142339774073,0.8733306574585967,0.2812287751600778,0.8459986540319139
22.049860210005484,0.942825331087715,0.28913324024874726,0.86438456864194
22.271027721202397,0.9114201080610362,0.2791941675405311,0.8546669758563864
