$K_1$ (km/s),$\gamma_{TO95}$ (km/s),$\gamma_{FEROS}$ (km/s),$\gamma_{FEROS2}$ (km/s),$\gamma_{ELODIE}$ (km/s),$\gamma_{CTIO}$ (km/s),$\gamma_{Mercator}$ (km/s),$\gamma_{HARPS}$ (km/s),$\gamma_{NIRPS}$ (km/s)
6.8078767254393115,12.808791513711677,14.436472456156666,6.671273669949854,11.830664237409252,11.771468281407996,12.972471079910454,12.112672301534422,11.968506603473449
6.822439151165681,12.751198622546674,14.67185582773711,7.735391205325559,11.876404106655905,11.929552808077375,12.886319309539273,12.111002113324213,10.441112370598763
6.722125800003249,12.892791546043195,13.913737312507251,12.64326398351983,11.547389204881695,11.623356697111799,12.933858932612278,15.28992151558247,13.040221433891567
6.678093625531118,12.8780655169411,13.827347151489995,12.762757935540218,11.876597305109048,11.540994487101308,12.97324026099188,15.678177970435344,13.372301493701606
6.8063396308317925,12.806546352865267,14.536772965073315,12.170976747974024,12.535245705648064,12.270256264970321,13.059158306365978,11.41708455506605,10.683784493476027
6.656530826827161,12.902716956993688,14.509993751725332,11.543788666086659,11.967150021188905,12.163623836936374,12.774106517923208,12.09574502383033,12.41165748407054
6.878312856223973,12.895162329347045,14.00639997540326,8.09421557492495,12.305847228233036,11.957175696725072,12.495136995976372,11.379685756831904,10.887355297036223
6.7783629997703,12.77921954890054,14.414990981147666,12.980670033719315,11.73383402549962,11.863970096101005,12.700372824602322,9.342622795599503,10.944490396315826
6.661954306562191,12.76338425529147,14.133209454193075,12.351332475390217,12.449659132382099,11.705976644583115,12.672893073868016,8.61217634584854,11.208633567348173
6.689418941528559,12.827301746569187,14.162048617708775,12.084391306554163,11.951909096643659,11.981333984133762,12.709448101607293,7.609269329687608,10.274159046967634
6.759806103755881,12.828916153906551,14.142610011485479,10.507727679933051,12.105005816824567,11.979868718538032,12.777156385823648,7.587003166089081,10.508390007511462
6.844960123865394,12.788215085972578,14.34934067452719,11.132582514583598,9.093191170863266,11.67383604084218,12.968710195290946,9.250396063438036,11.793505910287466
6.823523096465909,12.82012568254489,14.013083050485477,12.335910891058452,8.938342054337436,11.62456225416281,12.802349748050238,9.657165074623109,11.35257726379911
6.663188658368673,12.833420577584194,14.379750246899727,12.229648983241763,9.295079179846253,12.126895463743798,12.9086692214366,12.944760501534267,12.116255768639697
6.986022177119588,12.849469736463622,14.574234044927534,12.187402691068979,9.564204587526325,11.731313742020628,12.669040314569989,11.40001796756366,10.712272886244673
6.632316276579254,12.98909652376091,14.002927579261526,12.047131939721144,8.332864814018576,11.85269156852694,13.08586835005622,12.725825723635712,11.60567374458144
6.946127510652905,12.794898541547814,14.31578407696695,12.052006731237961,8.431869100306455,11.872997757823581,12.58308582638075,11.517391002322505,11.494857192994823
6.651212011557306,12.943538806898715,14.320335546091629,12.067123598664828,8.289252952151942,11.98450807526328,13.199993498370878,11.792327044586118,11.721767852097596
6.945487178623688,12.762529738842886,14.04587293006631,12.518047219260193,8.374642384225268,11.86091330888922,12.653316687333243,12.050746614491656,11.340890168731631
6.851741392495381,12.769663791302147,14.535478156078703,11.83265422819931,8.237724650911886,12.027593819207155,12.736591066301697,13.356143370657644,11.79859920744207
6.738752069227052,12.903915216281943,14.27241793017533,12.386705665196423,9.134445029416595,11.672158969161124,13.054821511666907,13.195752730936947,12.410666238330979
6.603984990533803,12.82086647188531,14.274366321963004,11.517679209622749,9.671280809458182,12.07068411041626,12.651274385227968,10.808746457400588,12.373145009961535
6.833096742832844,12.69273444236443,14.23443854650915,11.619386602183795,8.78899883615694,11.822845958845217,12.925118514092482,12.624154745204594,11.098084090594506
6.785580496679949,12.720234003797618,14.47585647493419,12.248874660493186,9.560803193895872,11.72098145472023,12.59889584746753,11.437599775250531,11.29473213675293
