$\Omega$ (deg),$\omega$ (deg),$a$ (mas),$i$ (deg),$P$ (days),$f$,$T_\mathrm{p}$ (MJD),$e$
344.7548838859235,104.00671777114144,22.660102124528386,66.22516615174773,314.87824092257114,0.581263683481044,48708.53786097327,0.7941274447051636
344.86066790943204,103.91147878927778,22.71892522662479,66.29376198453315,314.8785061018232,0.5927273786454172,48708.54454846727,0.7954294615536905
344.72326142096966,103.82486790292172,22.775696374964685,66.40657592756845,314.8784611499335,0.5228872905252826,48708.13740448188,0.7961700823662874
344.6964287964269,104.41192138380882,22.3228850046796,65.75698610707873,314.8783989018347,0.5286408630955719,48709.12890481297,0.7885678968088867
343.86371877789287,104.85915138239018,22.040386846212037,65.45386730102513,314.8785831331741,0.6991206884915045,48708.38277057279,0.7816176840861988
344.23789406298886,104.89923392770625,21.984209286345923,65.31622235331922,314.8783081191515,0.6572478124522683,48709.13019190496,0.7812791446602139
344.1547595258443,104.95099033307994,21.958841609086548,65.29373344854893,314.87855457445914,0.6493909118564121,48709.005965648685,0.7810026541791852
343.627495758466,105.06157090827898,21.938410308366365,65.329858919868,314.878481917302,0.6487607127275745,48708.43128813058,0.7790050479788522
344.3053121692227,104.80437751363498,22.041282181107153,65.40300703526124,314.8786208639953,0.6488571869622991,48709.04343810631,0.7830004645528825
343.173733128041,105.54435994827624,21.62702312286462,64.88620686724889,314.87843277434155,0.6150738086984118,48708.420315796975,0.7716413708684895
343.9028759251327,105.16021694972056,21.855871993897022,65.17159376558772,314.87849730732347,0.6907103690165998,48709.03041309165,0.7787848206112157
343.9217745358316,104.95236654523426,22.01264626001957,65.38998811988408,314.87851847649824,0.5963436739213404,48708.718980707694,0.780466517772234
343.98803371744407,104.94929293682432,21.98616056178923,65.33320460363639,314.8783339667213,0.6681537844056102,48708.76736919163,0.7804345402241316
343.5395894971796,105.56722106492809,21.579956392501977,64.76743609726454,314.8785024696785,0.5715963590991471,48709.0794069781,0.7721225358032611
344.3192260321274,104.42977935920842,22.313399550370114,65.80410044201248,314.87845765324556,0.8168705567993314,48708.436233440414,0.7874205597630402
343.75516442556244,105.42195814515249,21.627351141305432,64.82796437886743,314.8784664582275,0.568830481245926,48709.008808008395,0.7740972830888113
343.9633493429264,104.97417282656224,21.941727476405266,65.2887857453738,314.878619332129,0.662477674382656,48708.69793087896,0.78021903102337
343.7279706625361,105.2225173881047,21.80350925986424,65.09948254434309,314.8782007952486,0.5888265167538326,48708.87582483655,0.7765901805269029
343.80563127194904,104.98948883767363,21.94781542232665,65.32270522704027,314.8782227996024,0.6394331166922846,48708.46649985667,0.7787310014076401
343.8061071261562,105.22276421268991,21.80489169988312,65.0871164896462,314.87824092989257,0.6237480254069669,48708.90380823333,0.7769060007488968
344.0516942215264,104.70039774659834,22.143549305636327,65.59602120812664,314.8785935329718,0.721651112037245,48708.544818589,0.7839902230894811
343.7103055332363,105.1664196705791,21.816081065065436,65.14048013600963,314.87849299708597,0.5948335934893731,48708.5528903557,0.7773081067975518
344.11313233148314,104.82843617568051,22.079766591464555,65.47380178781594,314.8784990492193,0.6742612800010207,48708.88542595133,0.7825763840751075
343.9184194992586,105.03856351913352,21.915555439121025,65.24374987693855,314.87856490060943,0.6580387704251328,48708.87726681819,0.7798528924670382
343.74685989528444,105.20232679784634,21.811456175453298,65.1089288955197,314.8784130580592,0.6604086205930276,48708.847190735396,0.7772266714748213
344.35683546799766,104.58328391914452,22.238220565533616,65.69197909734835,314.8782905021044,0.7064284930305833,48708.90226499876,0.7867473236748277
343.5070307773138,105.42765984529498,21.64113095802427,64.86778799465826,314.8786571011024,0.5936368454159435,48708.642816790845,0.7728720392964658
343.3135211719657,105.63202823276603,21.52366698165936,64.70978576324656,314.87859558153144,0.6160553976987401,48708.727064578794,0.7704270488385845
344.19900930903873,104.49752401562476,22.331787000145194,65.8694226866362,314.8783619780204,0.7071221965221755,48708.55281932233,0.7872205104424179
343.7570285614313,105.28536957627463,21.727718941980864,64.97560878747917,314.8785086919146,0.6038008095601175,48708.848755043,0.7759150122318514
344.08739688075457,104.67790477952762,22.191258792594507,65.69232869553251,314.8784582293532,0.687206082367503,48708.61553839687,0.7847547282489505
344.26034457367956,104.39824916143628,22.351196772682435,65.87034783071408,314.8782146248883,0.9320227429662258,48708.354431811254,0.7884232568201197
343.82081647354215,104.85644918259908,22.0609661361009,65.50197163480681,314.87828348923716,0.940488246391885,48708.329146771226,0.781787462551427
343.85578995401437,105.11357672175062,21.86225706193863,65.1803000494595,314.87870807462787,0.48722878546077,48708.76399640413,0.7785947097980299
344.431080774716,104.48099319364886,22.26051890900636,65.66274424757752,314.878598251394,0.5588534540166523,48708.66867340077,0.7860911673653708
344.13475715526613,104.70588685469566,22.113207705809387,65.5123505671449,314.87849135989245,0.5348822960180323,48708.52960822778,0.782856997230294
344.480339583545,104.400076254716,22.35308805766811,65.82053287441039,314.8787479524129,0.6099127259118848,48708.730420559645,0.7881213488375824
344.17487230124414,104.71801603862895,22.133716994128452,65.54612826214313,314.8788514777354,0.5728757747114144,48708.70664424449,0.7833566158930838
343.5851119085995,105.0618285025249,21.94284811123925,65.36579907858626,314.8783688220464,0.7611947194719958,48708.37351462711,0.7787083969259497
344.50422301532615,104.48663985382763,22.296510157220837,65.75280799296608,314.8787046528268,0.5507316211255795,48708.96332948934,0.7880254292003508
343.74953893786295,105.36236324846291,21.68434346597199,64.91732655460468,314.87846565673294,0.728132305157988,48708.997043707874,0.7757905870313736
343.8816981524803,104.89945388785603,22.013862551592027,65.4160077943108,314.8785488318058,0.49501307381673676,48708.42181392992,0.7806031671468516
344.4366773104522,104.52968859582175,22.23706909960663,65.64883917831139,314.87851220939365,0.9491497646685283,48708.791287092026,0.7865572073459549
344.5789048892843,104.59255551089062,22.204081099876152,65.58485892725459,314.878597384544,0.9477033081498812,48709.2577027604,0.7867507367347024
344.42345714593137,104.31269749108209,22.43922661284849,65.98058689690329,314.8782599415538,0.6173488773721674,48708.508257390466,0.7902212122045738
344.6415297654552,104.05061971887137,22.62532389561495,66.20749825350961,314.8783630232729,0.8132253240558758,48708.43046202231,0.7937731863346411
343.66999945003323,105.24557274855619,21.776881111134333,65.08009999854742,314.87850823753973,0.6064681784413815,48708.65294426773,0.7763480179720426
344.72292108974824,104.23385999279186,22.488118370656508,66.01794165602958,314.8785570746675,0.7378333520494305,48708.86053321231,0.7919838004615124
344.53756866481865,104.392700511405,22.39564425704963,65.89838511804506,314.87856463180503,0.7085301468813634,48708.86301686056,0.7895222091489595
343.75917040858377,105.20080371569604,21.76189948010454,65.03328184966591,314.87843164581534,0.5998196352033354,48708.72030140832,0.7762786898360329
