K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
3.873182888113924,3.635592548615759,9.10197388826148,21.959015789424374,1.243027849501109,1.3242612123764643
3.840864981652096,3.8302515845297904,9.232087349241164,21.825939457765976,1.277482456710936,1.281022283881719
3.8884497482533513,3.750389654473684,9.158896847643522,21.852906759206974,1.2530005902588655,1.2991262985011454
3.870461402641837,3.7873768575439346,9.060172782202025,21.603992271070325,1.3443647670292473,1.3738564018243933
3.9221852325568367,3.679919646139726,9.171559380835498,21.88183214841498,1.2353199938660835,1.3166466399630141
3.864735909680657,3.7786279702310837,9.12074944720349,21.819529008561958,1.2813573804588767,1.3105571441294634
4.23309973348982,3.332296928497596,8.852286361572805,22.027064376871643,1.1130081911004526,1.413882009381299
3.908096420971194,3.688525786647762,9.13486974049675,21.938535479189888,1.2352311189131528,1.3087619808357138
4.0039026843493115,3.681534708774346,9.080302696273739,21.721872943318488,1.249596171278256,1.3590151554483956
3.734091842821817,3.7858155862391745,9.240025522744705,21.995308700645595,1.2870895881814435,1.26950471377387
3.9989312800307353,3.6331635078506337,8.974021251637073,21.943894014489686,1.1979005913358902,1.318498915534452
3.922728497800371,3.7573733374660065,9.0588808731802,21.8325847132335,1.2326843694917844,1.2869325645078387
4.311759076442498,3.5282619388327654,8.88103016549421,21.434805594210125,1.213523992819304,1.483003014297285
3.977392250771672,3.9616133043742887,9.201767521043694,21.191588260441137,1.3805180332241045,1.3860165810058405
3.8582043890805515,3.8135312444469074,9.158299748301594,21.811506399314844,1.2719874285246002,1.2868879694469806
4.131020306432675,3.7373366496560236,9.131620502245433,21.326281097528124,1.2959624839962602,1.4324766109192277
4.148020516543193,3.6415192563232575,8.890490083710215,21.565503938860836,1.232313486276329,1.4037167632742893
3.736954323866549,3.9521971837503673,9.315057659424168,21.73089926276238,1.337157598069357,1.2643338971904676
4.272539225427782,3.2964398007521214,8.65074132518256,21.897360391555303,1.1311110411508851,1.4660411182175916
4.429676388514594,3.1946681807766213,8.673432160087117,21.784592903188006,1.096905996507264,1.5209525115585232
4.229019786657815,3.427144102199966,8.832793209558643,21.757167278523063,1.1698904353572943,1.4436188417556794
3.6543656167766962,3.9143855972253894,9.319626704557066,22.08436794812487,1.285440764688269,1.2000530903776152
4.046669975802382,3.58520775089901,9.074574680827029,21.90197161669927,1.1939507817938464,1.3476275621850389
3.8795728900741304,3.905844313427435,9.22425340490986,21.521854162641553,1.3539431110059172,1.3448362419627133
3.891688777117787,3.77990725683218,9.063807100722052,21.84312004724464,1.251173491217398,1.2881738897685893
3.9124736003897325,3.5872118963368735,9.118198617911592,22.03030054327382,1.2334247057398442,1.345262487617049
