JD,year,x_lo,x_med,x_hi,y_lo,y_med,y_hi
2433993.5263157897,1951.9469350998131,-0.045875090049834616,-0.044514855868587916,-0.04319180204521091,0.06798610184605294,0.07272471103062761,0.07748814058386663
2434268.15037594,1952.6988308584819,-0.044346580512300525,-0.04297469515753464,-0.04163690054128755,0.08386068436323751,0.08856318551347786,0.09332758528358731
2434542.77443609,1953.4507266171504,-0.042810035337116865,-0.04142433823777322,-0.040075320357080675,0.09971092207765025,0.10439887142801171,0.10913578547771363
2434817.3984962404,1954.202622375819,-0.0412666505814246,-0.039865568344190055,-0.03850370568240435,0.11554242283348068,0.12021076456159827,0.12491445132145773
2435092.022556391,1954.954518134489,-0.039714040584424286,-0.038300676535843264,-0.036924429363096284,0.13134835212819185,0.13598170689705413,0.14067828953135206
2435366.6466165413,1955.7064138931576,-0.0381521273540502,-0.03672538022260019,-0.03533652509354214,0.14710695009467603,0.15174091742249107,0.15641899210585988
2435641.2706766916,1956.458309651826,-0.036582545327105274,-0.03514348011596499,-0.033739706800618066,0.16283770745204873,0.16746008633060966,0.17212494340272244
2435915.8947368423,1957.210205410496,-0.03500815420140755,-0.033554291298949546,-0.03213676892567181,0.17853766838963323,0.18313791854584605,0.18781796369594528
2436190.5187969925,1957.9621011691647,-0.03342698984343073,-0.031957848772756356,-0.030525899146733152,0.1941930505478083,0.19878279402212964,0.20347998575198725
2436465.1428571427,1958.7139969278333,-0.031835468278365295,-0.030358000478496575,-0.028912356957691045,0.20980015931919688,0.2143753159715846,0.21909032982606333
2436739.7669172934,1959.4658926865031,-0.030236004900587966,-0.028749192268254634,-0.027292928916922893,0.22535597551542982,0.22992602954192282,0.23466949255476274
2437014.3909774437,1960.217788445172,-0.02863047445176505,-0.02713444491488423,-0.025665134664645532,0.24086175097316603,0.24543340848181822,0.2501875483948623
2437289.015037594,1960.9696842038404,-0.02701893280994472,-0.025514390954016183,-0.024025970618043912,0.2563258978308184,0.26089911121621656,0.26565330407133264
2437563.639097744,1961.7215799625092,-0.02540282459414358,-0.023887734133672046,-0.02238625188026288,0.27169358816344225,0.27630133979116034,0.281060082417405
2437838.263157895,1962.473475721179,-0.023784833231847068,-0.022253250748073487,-0.020742278698277914,0.2869927153630707,0.2916289798074733,0.2963898896564491
2438112.887218045,1963.2253714798476,-0.02215382403230757,-0.020617662139086668,-0.01909026315898791,0.3022160407928907,0.30687543899330316,0.3116465574122532
2438387.5112781953,1963.9772672385163,-0.02052193868890889,-0.018973473432106036,-0.017435618431078635,0.3173847653506986,0.3220518873649195,0.32683343329482734
2438662.135338346,1964.7291629971862,-0.018886522508928645,-0.01732192925381284,-0.015775649809348473,0.3324767060067453,0.3371459054438815,0.3419520786392269
2438936.7593984962,1965.4810587558547,-0.01724384598546702,-0.01566588044612325,-0.014112871068741494,0.3474799256055803,0.35216670677567385,0.3569880765278216
2439211.3834586465,1966.2329545145233,-0.015597573631905481,-0.014011393355645368,-0.012446598170426789,0.36240083458900163,0.36708005418021583,0.3719146476827789
2439486.007518797,1966.9848502731932,-0.013954420369370581,-0.012351760626965316,-0.010778528153382105,0.3772129208645152,0.38191460082035644,0.3867769256040584
2439760.6315789474,1967.736746031862,-0.012301363604076392,-0.01068998475403763,-0.009105349911945749,0.3919343608783209,0.396635166249497,0.4015075883604816
2440035.2556390977,1968.4886417905304,-0.010641439283338505,-0.009024319406645463,-0.0074293614338210275,0.406543012497757,0.4112529368948329,0.41614530968436636
2440309.879699248,1969.2405375491992,-0.008983153217044109,-0.0073572247846978404,-0.005747422585797136,0.42104027222691964,0.4257614884115883,0.430673935274593
2440584.5037593986,1969.992433307869,-0.0073225794096804485,-0.005686983300443635,-0.004066946388503203,0.4354364895193342,0.44014281549806605,0.4450692952516534
2440859.127819549,1970.7443290665376,-0.0056612839096301815,-0.004011394792953222,-0.0023859729132747654,0.4497110922634939,0.4544258894320487,0.45932991202910756
2441133.751879699,1971.4962248252064,-0.003995407450089673,-0.002335988696014424,-0.0007045785790509605,0.46384252784823454,0.46855944888844847,0.4734636958406401
2441408.3759398498,1972.2481205838762,-0.0023214460297993813,-0.0006622605067344647,0.0009793815757978832,0.47783295648937624,0.48254110220667173,0.4874418400775735
2441683.0,1973.0000163425448,-0.0006597811684791268,0.001011376610358359,0.0026616745649519886,0.491658247857846,0.49638141261419255,0.5012786385539431
2441957.6240601502,1973.7519121012135,0.0010041534839485052,0.002686322640672905,0.004344623980972175,0.5053352363600812,0.5100502313513426,0.514947924818488
2442232.248120301,1974.5038078598834,0.0026704049067415637,0.004360542686338065,0.00602647718089341,0.5188534983118147,0.5235748260030816,0.5284603800234088
2442506.872180451,1975.255703618552,0.0043376145142681125,0.006032345765255832,0.007703091186701785,0.532205681705771,0.536916675751341,0.5417733869253186
2442781.4962406014,1976.0075993772205,0.006000370283757939,0.007703580778657619,0.009377218686575498,0.5453705133835335,0.5500695862845253,0.5549160258242752
2443056.120300752,1976.7594951358906,0.007658903365601898,0.00936993945788189,0.011050210998369218,0.5583474758697196,0.5630455803533003,0.5678479137970277
2443330.7443609023,1977.511390894559,0.00931676767172775,0.011032358735105954,0.012721341239777532,0.5711290651369537,0.5758067972397686,0.5805931620187217
2443605.3684210526,1978.2632866532276,0.010973234020424893,0.012696248847531205,0.014388127205013132,0.5837064162392058,0.5883493311412394,0.5931083582151088
2443879.992481203,1979.0151824118964,0.012624590449030202,0.014355319541049717,0.016048433384864513,0.5960622271196729,0.6006795345611093,0.6054113010290457
2444154.6165413535,1979.7670781705663,0.014265922143203916,0.016009994323152924,0.017702552917557634,0.6081886840538879,0.6127572245795456,0.6174652865173136
2444429.2406015038,1980.5189739292348,0.015908067050299225,0.017652888712627764,0.01934696090488938,0.6200748617191703,0.6246219392451853,0.6292756387970347
2444703.864661654,1981.2708696879035,0.017546381270376006,0.019290634354333275,0.0209817950379274,0.6317041954021541,0.6362118568234593,0.6408261898828129
2444978.4887218047,1982.0227654465734,0.01916454522438561,0.02091816252584715,0.022616902980618303,0.6430789665685414,0.6475528307451565,0.6521160993795942
2445253.112781955,1982.774661205242,0.02078314195668152,0.022536746663885318,0.02423696201399303,0.6541813081091394,0.6586042860006183,0.6631118406738349
2445527.736842105,1983.5265569639107,0.022391819403304973,0.024146606788391357,0.025843683314331567,0.6649844500327655,0.6693709378942375,0.6738121110996578
2445802.360902256,1984.2784527225806,0.023991440007397488,0.02574522752940369,0.027437862591048863,0.6755083299446886,0.6798179455699561,0.6841819370279265
2446076.984962406,1985.0303484812491,0.025575315505740534,0.02733225475407531,0.029023311327392717,0.6857146636538831,0.6899509636459406,0.6942405954363764
2446351.6090225563,1985.7822442399179,0.027147399530208546,0.028903324101307533,0.030595187028677813,0.6955709001342634,0.6997337188621131,0.7039490026739654
2446626.2330827066,1986.5341399985864,0.028706480488628127,0.030458832732093356,0.032149402912046904,0.7050746428701525,0.7091694156884687,0.7133060395111044
2446900.8571428573,1987.2860357572563,0.030250893726617357,0.032003501563244025,0.033688970777656764,0.7142287587550059,0.7182270907775075,0.7222962102014278
2447175.4812030075,1988.0379315159248,0.03178046100295881,0.033529109481072475,0.03520889705448182,0.7230060219654365,0.7269176752312325,0.730896273561408
2447450.1052631577,1988.7898272745936,0.03329202728272712,0.03503434370184476,0.036708906185092614,0.7313824288357025,0.7351822456454968,0.7390805881642105
2447724.7293233084,1989.5417230332635,0.03478384980880979,0.0365233054247807,0.03818664702481509,0.7393331023115913,0.7430328225659266,0.7468284096874112
2447999.3533834587,1990.293618791932,0.036254558250904956,0.03798893741525099,0.03963812970563457,0.7468562009057679,0.7504450683624859,0.7541394543775758
2448273.977443609,1991.0455145506007,0.037705006903687825,0.03943035384276038,0.041068617344059394,0.7539027947771316,0.7573881695315778,0.7609804826063888
2448548.6015037596,1991.7974103092706,0.03913075350055513,0.040843281863551455,0.042472004132492594,0.7604741471640001,0.7638591866106943,0.7673382357068463
2448823.22556391,1992.5493060679391,0.040528496085888176,0.04222920189608529,0.04385045599034089,0.7665418237437132,0.7698175998782941,0.7731847031912279
2449097.84962406,1993.301201826608,0.041898564074270325,0.043587804323547454,0.04519745351170001,0.7720912170316647,0.77525446286829,0.7785000654091224
2449372.4736842103,1994.0530975852764,0.0432407559906825,0.044913640126125254,0.04651761886624613,0.7770804405015402,0.7801178637066206,0.7832514363392992
2449647.097744361,1994.8049933439463,0.044548388518890966,0.04620955158844471,0.04779895297104355,0.7814997331126584,0.7844177296194548,0.7874284645136032
2449921.7218045113,1995.556889102615,0.045822462502884145,0.047466156798393985,0.04904667816664878,0.7853233430680241,0.7881171926635511,0.7910024372062205
2450196.3458646615,1996.3087848612836,0.047060981574482276,0.04868949322184001,0.05025162428560063,0.7885163012255222,0.7911883628976575,0.7939448865452965
2450470.969924812,1997.0606806199535,0.0482585701059908,0.049870460933072014,0.051415657316338084,0.7910499899629045,0.7936051972263237,0.7962277171668293
2450745.5939849624,1997.812576378622,0.04941761558810221,0.051008072420277065,0.052531471836624294,0.7928892039203781,0.7953230469738932,0.7978200131516251
2451020.2180451127,1998.5644721372907,0.05053191010520565,0.05210006459092045,0.053605315461062834,0.7940039023172537,0.7963292554605568,0.7986956430552387
2451294.8421052634,1999.3163678959606,0.05159753374554612,0.05314268562438511,0.054630599059399404,0.7943709386465445,0.7965781074799951,0.7988271966191068
2451569.4661654136,2000.0682636546292,0.05261479103163571,0.054134713619621314,0.055600771176477444,0.793973835077668,0.7960585756305736,0.7981742381057977
2451844.090225564,2000.820159413298,0.053574245090427984,0.05507135079556912,0.056514487035877095,0.7927625743364269,0.7947193927609009,0.7967148924942775
2452118.714285714,2001.5720551719664,0.05447832791262718,0.0559461866875047,0.057366408794146714,0.7907026270775345,0.7925428517956016,0.7944083646582497
2452393.338345865,2002.3239509306363,0.05532054350201858,0.056758864224125044,0.05815493886600702,0.7877626602244453,0.789483963526451,0.7912331769895378
2452667.962406015,2003.075846689305,0.05609918244265,0.05750446873891259,0.05887690982922805,0.7839027637123267,0.7855084296311671,0.7871375776144599
2452942.5864661653,2003.8277424479736,0.05680971242521632,0.05818517134811157,0.05952901609106025,0.7791020300392638,0.7805885120606755,0.7821078694154635
2453217.210526316,2004.5796382066435,0.057448714126417215,0.05878960381006895,0.06010185335868184,0.7733028531588155,0.7746888612882683,0.776091292801844
2453491.834586466,2005.3315339653122,0.0580116155625262,0.059318282926751675,0.06060548440599681,0.7664701822360273,0.7677647924234778,0.7690612647747141
2453766.4586466164,2006.0834297239808,0.058495593285633016,0.05976598981674851,0.061016111727767955,0.7585939362898934,0.759793460872942,0.760992094865356
2454041.082706767,2006.8353254826507,0.0588965603430887,0.06012916100453704,0.061340117708971936,0.7496241476594657,0.750725479885695,0.7518317949563392
2454315.7067669174,2007.5872212413192,0.05920706438822557,0.060400947092481574,0.061570119790285364,0.7395297811218936,0.7405395200728977,0.741542181322328
