$\Omega$ (deg),$\omega$ (deg),$a$ (''),$i$ (deg),$P$ (years),$T_\mathrm{p}$ (years),$e$
184.66170412956524,56.150912152693756,1.2114554661568608,88.14420694684817,247.83729830869342,2020.9309990545426,0.47026086853278665
184.65088746988334,58.80390021926943,1.1788232313575355,88.03363041689084,239.5138152770749,2021.6619734501978,0.4656487994660506
184.6491261757992,59.33617715023894,1.1622620664428982,88.09201370065965,233.88314711599043,2021.7219294747813,0.4538411323990109
184.64269323057894,58.70640197546982,1.173474417055224,88.07672220891085,237.0763562654571,2021.5876979696968,0.45950561473962165
184.86648729264442,59.955971237217874,1.1562936239816974,88.14160145152123,232.89295126261382,2021.9797243506039,0.4602610187786149
184.57744103637086,59.35406000605881,1.1740160896399334,88.04931623101356,238.52489610044327,2021.851130225641,0.46827937897595984
184.69916686716414,56.569333023063166,1.2021418058138718,88.12896873561208,244.83141454782253,2021.0072181123496,0.4650482750232919
184.49010889502387,57.92304794494463,1.2001579491349534,88.00826809117216,245.8455292355312,2021.4756053750648,0.4750813969652377
184.64209447241728,59.87723121161137,1.1580761707379037,88.06765655489892,233.11894170091787,2021.892699027024,0.4559266598151295
184.6255464505464,56.98467031581632,1.2042733795936944,88.08379140440745,246.17695877183405,2021.1918611884203,0.47176049897361244
184.57621848568095,57.04495538479906,1.2077972016045864,88.03364542940226,247.45451861605588,2021.243422080335,0.4756587202896061
184.6626746069009,55.70441499723853,1.2279664163347643,88.10461944404479,253.0384671884526,2020.8563633756098,0.4785156492428106
184.65186506843406,62.611896916050966,1.1188042478352493,88.01053555135144,222.71125953266957,2022.579779445856,0.44501568326555724
184.51638788023575,61.43782598823242,1.132773548881257,88.01624128279995,226.82967314888862,2022.2487173151233,0.44541682463549437
184.71659730960423,62.5547315417682,1.1109658171377452,88.06779840113349,220.24856930146083,2022.5580114911763,0.4402309102467647
184.79726324816747,58.220364592266115,1.1877632554164284,88.18760493655057,241.29632745714605,2021.5187126912335,0.468041784843244
184.50425343497818,59.85089273342967,1.1535609486084957,87.99041339506446,231.8859621263138,2021.8885997536506,0.4537999154593322
184.68236719394616,57.5724614104772,1.2000151412328353,88.10141339531653,245.61125579976618,2021.355873938693,0.4723954855122563
184.5661968309375,61.26036094123967,1.1274323142312384,88.03015708314304,224.21886253973733,2022.219559953363,0.4436286430875098
184.7759699715267,56.368769255314994,1.2207021337921702,88.19192942827468,250.70420715881824,2021.0460270689468,0.4778443406321474
184.55408892098248,56.725438787867304,1.2028689199892044,88.06943874314521,244.97294352969837,2021.0441019056707,0.46547256674879706
184.69958002878923,61.76423032789829,1.1296713650203731,88.06030028026302,226.29069727458034,2022.393499191891,0.4497863874642815
184.63415607736795,57.84233399194365,1.1935175299545615,88.08931705425812,243.70302052283273,2021.375930336317,0.46698888217512824
184.6792689028468,56.70880276064889,1.2067438278287947,88.11494650395181,246.54910262571894,2021.0734203093273,0.46913790718686765
184.61413184346355,59.995285958654755,1.1525356408112677,88.0336433323776,232.124179424429,2021.9513691109114,0.4560653645343816
184.6874437185802,61.62546550286056,1.1240548993900308,88.05692033763819,224.82975192182846,2022.3187697976648,0.4437970820122566
184.61313691897357,59.67992678060775,1.1554846415552869,88.06770654246031,233.05797710136864,2021.7909557253038,0.45078720754704493
184.65701192166622,55.15665309095562,1.2429083407058785,88.10793892695384,256.4915600794498,2020.760075798102,0.4855259243994298
184.747326483534,55.82842901287611,1.228515194444239,88.17163252848233,252.97936946146038,2020.932027218365,0.48136152939483856
184.5894263924058,53.50147627388729,1.2757296783743448,88.09942377682677,266.91894144003214,2020.281600673438,0.49312064288361274
184.70795191956006,53.285662009489954,1.285156738302344,88.18077220792232,269.80728758780026,2020.2548512182175,0.497767718778412
184.6452370827737,56.84482595621606,1.2058722058960814,88.09046751991535,245.86145915851088,2021.1704285461713,0.4726267305411889
184.5443128641413,56.390390375331556,1.2102034750246202,88.07599162517691,247.39941569174692,2020.9913849636378,0.4699778886879863
184.8410808465973,56.13474270731173,1.2286780708383434,88.21713464253673,253.18012143513815,2021.040912202699,0.4836013059390585
184.64632390087925,54.93736652496345,1.2474576117114842,88.0682835919625,257.9002991219782,2020.6465772457495,0.4838609119506241
184.6558056359817,54.7236334303803,1.2460953397282986,88.12459808342099,258.76565221317634,2020.6323491589455,0.4858674105791842
184.64415554449863,59.910299901119814,1.1563442130156911,88.07622357054156,232.02376850218207,2021.8908924125533,0.45413889916958466
184.5821554968341,61.65068887784415,1.1295739165066903,87.97825761275364,226.29567230991137,2022.3370543310716,0.4472616138917368
184.64843037177206,61.71318814570232,1.12564188053876,88.08314573912456,223.66452703408623,2022.3258123947103,0.44320690851564515
184.5376375012021,61.759507637707344,1.1257173383513817,88.02265399811395,224.078950126182,2022.320239822492,0.44209939050138086
