K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$],$a$ (AU),$d$ (pc)
4.191684271519902,3.3605472806058767,8.775962800136611,22.055130421789784,1.1803974401473565,1.4723355962175229,51.91415746752549,45.3409243507366
3.526572616562759,3.6686111855417254,9.23988032672517,22.75529650463568,1.2700413569113704,1.220868836915044,56.38865200895346,43.94581278236832
4.079757742317612,3.58042738813248,9.33729521611805,21.767221203111507,1.2803067728899,1.4588597681249709,51.71489557268007,45.94063664208344
3.909098993281941,3.7218277058643094,9.366606619329836,21.826136063203847,1.3291810197028404,1.3960614506208604,52.39449704066773,45.81662998453839
3.931255030258404,3.5416724253657628,9.096647953165952,22.213090988495864,1.2501715184262425,1.3876899047182174,53.43301871715614,45.0184983493697
3.744238765065187,3.6881971591833955,9.339060901545842,22.206110876861175,1.290255928717119,1.3098611751621922,52.956460800211005,45.032649145330645
3.687478074556554,3.798173776605631,9.276595632072244,22.103128008448078,1.3611332047027986,1.3214637202245139,53.89335966265649,45.242465212063564
3.6179109400382488,3.8668392984618314,9.431387884371544,22.152106462949977,1.356580118924244,1.2692500707869423,52.881017747794104,45.14243382102411
3.8783182895359447,3.632624203951374,9.045531932122874,22.07432214755614,1.2955395593945798,1.3831639294127756,52.82525352516767,45.301504314174856
3.5003697355669723,3.8431433868784337,9.414931679789142,22.439908903273437,1.332795226264508,1.21392193943452,54.555356529765746,44.563460765837796
4.003571814894003,3.574067213328125,9.049262132523642,22.019003370761908,1.2607421400605336,1.4122486781929768,50.86135807443744,45.41531617765485
3.929749660881869,3.451468826190493,8.90549364402182,22.45434813768677,1.1677238951977251,1.329539049095745,51.51075102578163,44.534804300180376
3.802860387612061,3.6140370772354693,9.141226197348963,22.36622201490447,1.2188272456195335,1.2825075539220454,50.79941970368375,44.71027781686228
4.3261549090914055,3.154961406000461,8.616777955166913,22.178189306905306,1.0985482440903132,1.5063543630062262,52.53917140920497,45.08934368635064
3.108900477132323,4.197201225579398,9.640925606033273,22.766220953722893,1.3890785467960187,1.0289015762669977,49.86546072881932,43.92472523361296
3.180067483191584,4.091924367111308,9.503752391996112,22.861799796783842,1.3355356722589025,1.0379208369853574,49.40301257131812,43.741088142180224
4.111231594279503,3.387719268668471,9.01068153106672,22.327702128980313,1.1488929353591555,1.3942610233313626,49.54732838796803,44.78741225690425
3.415026779180798,4.100677318635513,9.40969364966521,22.22175263917224,1.3912331949093462,1.158613138153867,49.26090152924325,45.000950925770454
3.543244115163762,3.9670532965412306,9.225642297642423,22.286937743797292,1.3344681648553247,1.1919039444515493,48.86852113274376,44.86933160112189
3.6220762160732636,3.994209899114065,9.493323766142204,21.97560429065443,1.384316385392541,1.2553420029736004,49.891799552789756,45.50500576793104
3.9528787137972787,3.4579676999746614,8.98044586090011,22.414339695980875,1.1641830726485294,1.3308032017965938,50.0835878341887,44.61429663169201
3.930056781906953,3.855264611045445,9.187750325235738,21.698124565633535,1.3555792432016254,1.3818774936727796,48.79194136875294,46.086932397090436
4.051712233013035,3.5780064188374614,9.028646712656885,22.012718116650415,1.239890786149699,1.4040446208800097,49.256574678245734,45.42828353594371
3.938798241833501,3.7480224678825715,9.196687499032501,21.82825952152395,1.3201067126034327,1.3873006480594854,49.71664872427783,45.81217293178785
