JD,year,x_lo,x_med,x_hi,y_lo,y_med,y_hi
2451020.2180451127,1998.5644721372907,0.048226893998119864,0.049801853889108724,0.05135224646874068,0.8038679724217481,0.8065498609536784,0.8092923543926831
2451294.8421052634,1999.3163678959606,0.04926473046784209,0.050814002909554776,0.052342933162815755,0.8032350748758649,0.8057321911862985,0.8083087789941972
2451569.4661654136,2000.0682636546292,0.050261117908453126,0.051780694586341054,0.05328256190759498,0.8018348432922427,0.8041895529675613,0.8065944720547904
2451844.090225564,2000.820159413298,0.05120654662041269,0.05269491730676245,0.05416960395598997,0.799680205967674,0.8018730981779332,0.804113024649146
2452118.714285714,2001.5720551719664,0.05210298909866162,0.05356011419992721,0.05500825889170961,0.7967242896197123,0.7987516918999163,0.8008436890521816
2452393.338345865,2002.3239509306363,0.052943074916716404,0.05436798094602321,0.055788084379038407,0.7929251571366912,0.7948116207892262,0.7967405525168999
2452667.962406015,2003.075846689305,0.05372031070010135,0.05511872126253296,0.05650702530067563,0.7882651567995344,0.7899966735006473,0.7917666135028683
2452942.5864661653,2003.8277424479736,0.05444023515024597,0.05580454106624291,0.05716370095737096,0.7826971119980516,0.7842913920540042,0.7859235501759896
2453217.210526316,2004.5796382066435,0.05509667349758299,0.056424479488363245,0.057747817298620975,0.776190357434205,0.7776661551886647,0.7791610711825082
2453491.834586466,2005.3315339653122,0.05567887048019955,0.05697277678948996,0.05826201284249461,0.7687273999440998,0.7700821634142819,0.7714454779774589
2453766.4586466164,2006.0834297239808,0.05619213022094166,0.057451229204637175,0.058705778643949734,0.7602679522521874,0.7615080546732415,0.7627508259240275
2454041.082706767,2006.8353254826507,0.05663350272846289,0.057852483961883236,0.059069646094357275,0.7507872123093033,0.7519208846018207,0.753042240046316
2454315.7067669174,2007.5872212413192,0.05699261218529044,0.05817093621859201,0.05934889193339004,0.740239856504013,0.7412690844035748,0.7423023117441471
2454590.3308270676,2008.339116999988,0.05727105175219598,0.05840554311358634,0.05954398861070215,0.7285996139852826,0.7295366247936109,0.7304727213744984
2454864.954887218,2009.0910127586565,0.05745633173711181,0.05855232158518848,0.05964724126388794,0.7158429442376326,0.7166914494478176,0.7175455834519266
2455139.5789473685,2009.8429085173264,0.05755411839942893,0.05860571756409633,0.05965745472393498,0.7019359584664417,0.7027047934153199,0.7034795601473598
2455414.203007519,2010.594804275995,0.05755711181926742,0.05855892700126632,0.05956705968960371,0.6868510633395392,0.6875517962412453,0.6882522187954581
2455688.827067669,2011.3467000346636,0.057455933748981135,0.058414961026382516,0.05937291144349933,0.6705589806021865,0.6712002620037022,0.6718470488439392
2455963.4511278197,2012.0985957933335,0.057258716594986776,0.05816461283421988,0.05907600865740147,0.6530364258269061,0.6536356538612125,0.6542403347559387
