JD,year,rho_lo,rho_med,rho_hi,theta_lo,theta_med,theta_hi
2428850.2662218045,1937.8651556363482,1.1360286610178645,1.1516684013433265,1.1651020708060325,186.49437790345286,186.67788466425907,186.85849497241986
2429074.7805451127,1938.4798554822517,1.1251322577903355,1.1398107841622136,1.152572873454668,186.5432366512066,186.72608298133443,186.9046541979925
2429299.2948684213,1939.0945553281563,1.1139728863294303,1.1276867594083113,1.1397431757020546,186.59319801846513,186.7746031677402,186.9522410351681
2429523.8091917294,1939.7092551740598,1.1024409246231692,1.1152637944393684,1.1267151860776183,186.6443492824529,186.82423112203665,187.00124137347498
2429748.3235150375,1940.3239550199633,1.090617325719311,1.1026395902649364,1.1135335258351065,186.69647506090763,186.8754466347867,187.0509885439892
2429972.837838346,1940.938654865868,1.078468480108961,1.0897696451769827,1.100113477453852,186.7496299964374,186.92709892493437,187.10217141996438
2430197.3521616543,1941.5533547117716,1.0659871555784903,1.076625479583662,1.08642787191063,186.80358368657448,186.9802600710294,187.15421471464765
2430421.8664849624,1942.168054557675,1.0531151092133393,1.0632228806664532,1.072591232754871,186.85924371165174,187.03483719447868,187.20785094230538
2430646.3808082705,1942.7827544035786,1.0400300416378883,1.0495885234720466,1.0585604088668585,186.9158550285157,187.09104918485747,187.26226291082753
2430870.895131579,1943.3974542494832,1.026591684613775,1.0357370268118102,1.0442904692838038,186.97428180905777,187.148511910793,187.31917113214263
2431095.4094548873,1944.0121540953867,1.0129583279190602,1.0216629308787106,1.029844096454124,187.03374432949093,187.20743585066595,187.37785998137207
2431319.9237781954,1944.6268539412904,0.9990774708759258,1.007349880466474,1.015240880410897,187.09529546833483,187.26847855422488,187.43745748996585
2431544.438101504,1945.241553787195,0.9848116859738211,0.9927764789490938,1.00045284564288,187.15884115477252,187.33066021595607,187.4992378008498
2431768.952424812,1945.8562536330985,0.9702909288408974,0.9779896846525171,0.9854644572172105,187.22379095447977,187.39476817051403,187.56300820270673
2431993.4667481203,1946.470953479002,0.9555640521742056,0.9629826124832359,0.9703047847386436,187.29022906155132,187.4608895447736,187.62874114838007
2432217.9810714284,1947.0856533249055,0.9405170911049342,0.9477914517757898,0.9549570380567088,187.35926713336167,187.52928077896811,187.69696606723926
2432442.495394737,1947.7003531708103,0.9252346093974297,0.932354838555502,0.9394352651415224,187.43003279672217,187.59957703221207,187.76694371823214
2432667.009718045,1948.3150530167138,0.909717083718199,0.9167237769971397,0.9236942744299822,187.5039429684753,187.67234289307459,187.8398164648249
2432891.5240413533,1948.9297528626173,0.8939314284042212,0.9008594629418467,0.9078083780116286,187.57996304262264,187.74773566540338,187.9151426804001
2433116.038364662,1949.544452708522,0.8779522265822872,0.8848225449499798,0.8917211146369844,187.6582689724866,187.82590712696086,187.99344245134046
2433340.55268797,1950.1591525544254,0.8616834890256511,0.8686010893808733,0.8754408372784936,187.7395833955588,187.90700171670082,188.0750397257327
2433565.067011278,1950.773852400329,0.8452751308130823,0.8521655594248337,0.8589698878967866,187.82415510358996,187.99112960581795,188.15969352737727
2433789.5813345867,1951.3885522462338,0.82865231376448,0.8355495574463664,0.8423109147945294,187.9118759926103,188.07825637450296,188.2478244625982
2434014.095657895,1952.0032520921372,0.8118153746599055,0.8187168308984758,0.8254750049059635,188.0034767229446,188.1692847398957,188.3395208585677
2434238.609981203,1952.6179519380407,0.7948024961929911,0.8017294115259531,0.808447046377451,188.09817390629223,188.26450203334116,188.4352257677101
2434463.124304511,1953.2326517839442,0.7775686363527813,0.7845425631158292,0.7912695338788308,188.196198354909,188.36351697887673,188.53536226691287
2434687.6386278197,1953.847351629849,0.7602026919010405,0.767154524254849,0.7738755120948277,188.29934484239797,188.46714887694705,188.63981423553213
2434912.152951128,1954.4620514757526,0.7426723701539388,0.7496006152019454,0.7563733664421285,188.4070605229901,188.57546307054773,188.7486105242248
2435136.667274436,1955.076751321656,0.7249614082448534,0.7318867929513365,0.7386385807195983,188.52002414007993,188.68954097370124,188.86377286536856
2435361.1815977446,1955.6914511675607,0.7070710367726983,0.7140085640173035,0.7207664884700535,188.63795396311227,188.8094078523606,188.98400432108346
2435585.6959210527,1956.3061510134642,0.6890103021098344,0.6959704525855454,0.7027326747390553,188.7620083007909,188.9355980277054,189.11178885532433
2435810.210244361,1956.9208508593676,0.670812709600073,0.6777803099148024,0.6845312528516474,188.89303710612057,189.06790260583975,189.2457181839118
2436034.7245676694,1957.5355507052725,0.6524555789600436,0.6594196329121009,0.6661939944283332,189.0305531788859,189.20758128966864,189.3876564056192
2436259.2388909776,1958.150250551176,0.6339447425877123,0.6409027440100844,0.6476673760005806,189.17524062037305,189.3544794053502,189.53757081011403
2436483.7532142857,1958.7649503970795,0.6153126349441987,0.6222532650551946,0.6289949335218953,189.32904823619145,189.5111338408838,189.69621172889526
2436708.267537594,1959.379650242983,0.5965191985292011,0.6034433392819496,0.610184368448925,189.49232366794973,189.6780573986433,189.86591706559614
2436932.7818609024,1959.9943500888878,0.5776005920793122,0.5844991305325038,0.5912328353971634,189.665603504285,189.85518785432433,190.04694932475735
2437157.2961842106,1960.6090499347913,0.5585701920898213,0.5654388124644034,0.572112360267307,189.85029995484362,190.04458272956563,190.24015236064196
2437381.8105075187,1961.2237497806948,0.5394129952064676,0.5462246819258405,0.5528803235254021,190.04792600532056,190.24734675319164,190.44690577353322
2437606.3248308273,1961.8384496265994,0.5201361506376319,0.5269018556497016,0.5335172966833583,190.2606848241829,190.46508228535183,190.6699041817742
2437830.8391541354,1962.453149472503,0.5007471820625095,0.5074542797741247,0.5140239829946057,190.4885386091097,190.69871485997095,190.90949650262812
2438055.3534774436,1963.0678493184064,0.4812437438868662,0.48789441772048403,0.4944116725989027,190.7339179043258,190.95091298328285,191.16877811192006
2438279.8678007517,1963.6825491643099,0.4616271276955978,0.46821754306423763,0.47467077547402997,191.00076271150687,191.22426940839006,191.45012743147103
