$\Omega$ (deg),$\omega$ (deg),$a$ (mas),$i$ (deg),$P$ (days),$f$,$T_\mathrm{p}$ (MJD),$e$
342.77093708744485,103.79146143739536,23.280242867276872,67.55911986545016,314.8675271340934,0.8516543161676091,48707.3959078989,0.8154924033227299
342.7321120733227,104.68991327363752,21.69449752639538,65.53980425387853,314.83364257256204,0.8297617964888493,48707.64597315574,0.7987085734079677
342.216527410167,104.35549318071767,22.76337180090216,66.98320061535443,314.85343318009086,0.7154958937810316,48707.620597310364,0.8061079366785997
342.8874806710498,104.85807881016578,21.7071178999866,65.4840109440208,314.86968276329316,0.7830139290405177,48707.69598042732,0.8015999490209145
342.8284335688151,104.58187079026324,21.929683911379318,65.81740398453144,314.85057628032126,0.7332639953330028,48707.604693926405,0.8030875932368675
342.6832545364845,104.40504120461614,22.124645046049494,66.1361292787839,314.8391862160363,0.7564171862011279,48707.42745978804,0.8038896612365453
342.4600353980875,104.72067540855849,22.19035678965408,66.21279657394169,314.8821830209963,0.6818606830750877,48707.38209110731,0.805806889994314
342.05437753285787,104.57939024295575,22.562080355352688,66.7873642906525,314.86568817381277,0.6506340441481656,48707.5093327323,0.8068623494989873
342.05437753285787,104.57939024295575,22.562080355352688,66.7873642906525,314.86568817381277,0.6506340441481656,48707.5093327323,0.8068623494989873
342.168260087246,104.86542349525301,22.21379425743858,66.311374260478,314.8748487709835,0.6906082366761072,48707.76723343367,0.8046221431083947
342.7553387597689,104.40320554559032,22.26515269691268,66.27464006805405,314.85433125303734,0.7291128644105448,48707.54784330353,0.805541972567326
342.36171912178355,104.46949112893785,22.424444578719633,66.49534293984912,314.85022747452103,0.8227850762532339,48707.44848654512,0.8035734422884293
342.90925865926766,104.76033439392006,21.861123039246113,65.71268667156029,314.8756306216206,0.691294941008351,48707.656994326506,0.804245706554117
343.2682416561356,104.47714968689652,21.976261495193743,65.85011916409762,314.87154192040083,0.7914811095899209,48707.73909605434,0.8077423228135514
341.9312822058656,104.54145382425337,22.451365374003373,66.57710557384011,314.8250388691091,0.8688430209027568,48707.483076196164,0.7985640300062173
343.0469573754393,104.39530260641372,22.200742130765626,66.17889160070382,314.87490788874146,0.816152477012831,48707.52802470047,0.8083118325137519
342.13981242472323,104.52405519518265,22.35377295667429,66.42666086626225,314.8252315094458,0.8602909534541657,48707.60527651338,0.7997953079564688
342.5984433401703,104.8190324221625,21.774621021985794,65.65563116668164,314.85028683843177,0.7363753891973892,48707.63065972831,0.8002771078201378
342.56925897932047,104.3524236177634,22.741204400922182,66.89760861220151,314.88776648417644,0.7523427404787828,48707.44779309677,0.8102153200105515
342.6356955762354,104.62394337580798,21.855478346182704,65.75328012671477,314.8312830396728,0.7794505762795858,48707.56961601321,0.7998527730217032
343.01082412118177,104.59799081819232,21.62330725978967,65.41466430444562,314.8296256927526,0.8409149430636823,48707.564548384864,0.7995104128328194
342.8997369783143,104.26865349930362,22.55014125116069,66.65961076417436,314.88040196378614,0.7629888091802246,48707.40904310811,0.8095889204032701
343.19121235533663,104.12139261924209,22.513607708608653,66.57997172878191,314.88193218679766,0.7664206986248304,48707.277735678945,0.8116441577321807
341.9182060127546,105.02403655744166,21.920509549451314,65.86987093945476,314.8444539803836,0.7129733661237369,48707.64304893464,0.7966354081543736
341.87218574785425,105.10793086868304,21.807699704276413,65.72434704668107,314.8413994284518,0.6835918257497576,48707.64867515769,0.7954811384599609
343.0474524279472,104.37869704683008,22.337128757381034,66.32930920120265,314.8738371981157,0.723914859251587,48707.96440939652,0.8094509299568727
341.8594356879496,105.05766363494423,21.7878360307018,65.74041953342666,314.8439335046361,0.7130178728844143,48707.12395866867,0.7949602341672419
