K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
4.854585988156614,2.547778397027947,8.129808742259272,22.52500708202478,0.7930038759211715,1.5110048460618049
4.276620289193431,3.1435079653173057,8.72790821725806,22.490949438909425,0.9823409648532729,1.3364366648815855
3.511402650834079,4.114399828799975,9.543426981907508,22.206035529994033,1.3091611085334374,1.11729340320675
4.981919176166651,2.7165603352121255,8.125770847524015,21.418946122166552,0.9522155143467879,1.7462747538781327
3.8817021040910626,3.3934063223621242,8.894607958243121,22.4402950875198,1.1292920446270909,1.2917920488551762
4.572418670357505,3.4337417522142033,8.62957563917513,21.172662027678367,1.1956740657088452,1.5921763534441655
4.106896380804579,3.4749816022689406,8.92263956930502,21.83718761713593,1.1718573430547323,1.3849560175709614
4.087451223429868,3.5592968158307086,8.911027690030206,21.877132267402384,1.2034990793049494,1.382083045792186
4.274358301873226,3.25596174877799,8.602473318124636,21.80470995798644,1.1428259262722364,1.5002779094045096
4.469107798921487,2.906757213910937,8.443276560775946,22.366640544442223,0.9830259110622607,1.5113917132966506
4.22211639853026,3.228849003725432,8.70079113637627,22.21862168951071,1.0986154131473354,1.4365745026093204
4.227597628937073,3.0224524877969072,8.541548984805885,22.259205163183783,1.0440324687963847,1.4603204541468693
3.6686093598950635,3.5242203411781508,9.17404395558464,22.57183785910371,1.1911076384689592,1.2399078968112789
3.698455584115727,3.910078149874154,9.157286374750381,21.814847564122854,1.3335665704463653,1.2613908316426257
3.591453705060139,4.050705054512888,9.312726194787876,21.873304686917262,1.3463415306334654,1.1936991741926177
4.716229329359797,2.543342544190731,8.10227928084421,22.264260623787766,0.8865024190184787,1.6438795154325934
5.065054064236533,2.5093811326331754,7.917462061450063,21.91041754069865,0.8484707867333807,1.7125937351016582
4.233770409663187,3.1767643287580887,8.80287150493665,22.319625473591223,1.049680012124374,1.3989404674171817
4.553940259771212,3.0083682072533846,8.357772009027101,21.91338373485823,1.0216528748111373,1.5465348114289414
4.526049323288424,2.9177482163743265,8.265033466999359,22.398877244745407,0.9566341393603193,1.4839434310293818
4.327798141740899,2.7825749164956353,8.493567279957542,22.875031095191908,0.8960748581741416,1.393684347212749
4.3647043763631395,2.6826057462832518,8.361218912871674,22.92431005862662,0.8751782703011205,1.4239492447869702
4.133589530308456,3.2982694802807004,8.93734611191879,22.338596182802853,1.100036530909344,1.3786318899378462
2.891963986488915,4.492086760819039,9.809971634023277,22.265263834445513,1.523612071848355,0.9808873861469715
4.186028861262723,3.4657233276306774,8.88740226201977,21.36681003828643,1.2574229940614106,1.5187620148417582
4.12139556771859,3.5769515913288648,8.832698588766503,21.49927510559994,1.305884257040715,1.504651503243187
2.096782778429795,5.4743943958030625,10.087738075393027,21.991092099298598,1.8109340093756918,0.6936174066382284
2.2144505817544538,5.355614883164361,9.988934197694327,22.01364583597598,1.7663473447059903,0.7303529081899771
3.106457783829405,4.549449682716794,9.613653224644342,21.878417957952536,1.5281440380300695,1.0434481690796884
2.792320955676699,5.108188378218609,10.030533817721516,21.151903559025897,1.8094246873976263,0.9890971315551054
1.8418256576631127,5.706092771671056,10.72054277610013,21.96526320649801,1.902137275293417,0.6139762142364942
2.910071561845459,4.455945177055249,9.770537053286812,22.710259710124614,1.3907429852060784,0.9082610872153662
