$\Omega$ (deg),$\omega$ (deg),$a$ (''),$i$ (deg),$P$ (years),$T_\mathrm{p}$ (years),$e$
184.63983136962398,53.46144534846571,1.2800803754490977,88.27758579012053,267.35347023230025,2020.2541255409344,0.49422327714603415
184.5743894959567,47.488391332190275,1.3759649033492396,88.27533982463439,296.9283346643403,2018.449887646366,0.5080450900655294
184.6260895862104,44.28306537832792,1.527019293324137,88.43856807680649,342.8043194955463,2017.7335316917327,0.5576280477478524
184.75572271319174,46.414957755914486,1.4637255304545242,88.38045770047198,322.50974898729413,2018.3149784877542,0.5424359251668098
184.5934906289264,39.49523059334343,1.6956078781993251,88.45745281459577,397.9102115334548,2016.1557840527398,0.5891333165133861
184.5977978816814,41.052960863158745,1.6865146188254505,88.3483356142834,395.58188033883613,2016.8248906010904,0.594099008303409
184.57175052174316,37.69418788066346,1.7834747751672764,88.51147787124364,428.23089835596784,2015.6605289813845,0.6071419928207427
184.704705943784,39.4312147363543,1.6834471812495941,88.51400137076648,395.41952752200126,2016.1528049599174,0.5861482689181707
184.60908073701205,48.09005852209156,1.3888576561888446,88.25236329405313,299.69170722873474,2018.765615655,0.5206896385954694
184.57965599927945,50.253601726473995,1.3191472076760193,88.25931451819906,279.2609800269427,2019.2819917907107,0.4955648390287367
184.69076814903724,45.70288190151283,1.4438024716071172,88.36737749938186,318.4689922982834,2018.0220575769529,0.530898746453823
184.5662204446938,45.969821579655274,1.4258885764042004,88.36382127317081,311.9879103911426,2018.0895792823458,0.5250432922624155
184.48695663010528,44.876638509618076,1.4717670354323449,88.39498505475746,326.92207930638415,2017.8363938630514,0.5402231272615793
184.680599402294,43.471119211743016,1.506326267866804,88.44259649587212,337.3454870027125,2017.3261706287728,0.5452951315295675
184.67411926459192,43.8584532852152,1.5020164482297245,88.41938663265091,335.67275437391675,2017.4891407091327,0.545800644511809
184.60371336264265,49.944735699205744,1.3518320131930053,88.27026236254326,289.3116673766861,2019.2932132834444,0.5101376634533915
184.6503652711559,39.39891739951909,1.6844945181611577,88.50189984433756,396.124425473048,2016.1059017228272,0.5854865230112942
184.6382200076138,39.306973938798855,1.6761877496898347,88.48321465033067,393.2839259625628,2016.0243585573419,0.582058037152965
184.54085981340629,47.91131941542447,1.4058524612713683,88.31197699513064,305.4165378691378,2018.80048872166,0.5277928122963125
184.58214400251,49.31524971251537,1.3709648818327604,88.19478257056215,296.4137128129268,2019.1847866352407,0.5192115852755793
184.68222582648664,39.31321247821093,1.7589110702546025,88.54253076076898,420.5925764111523,2016.2465512927688,0.6064236029272192
184.5846043779434,37.65101999606721,1.8136224160193373,88.49003494206796,437.26653020737336,2015.6297602023258,0.6130215588474023
184.62806214273965,38.95187584901768,1.71444764061463,88.42042932295918,407.6094433354661,2016.002895728728,0.5929415805868671
184.5797899580015,37.58335300930455,1.8054895922473895,88.47067980411515,434.684790805861,2015.5733163801644,0.6102391640095546
184.66742173659043,47.87210652177321,1.407831797478875,88.35868483696298,306.02386733903256,2018.815604501857,0.5303897822246144
184.53542409764438,39.859087200863904,1.6317961105629994,88.47550368970444,377.5717601718475,2016.1257259978204,0.5705341106530956
